Hour,MAE
0,5.65795182470734
1,5.60969184410634
2,5.518671690089279
3,5.3893079077629915
4,5.2809477781023855
5,5.269439447664061
6,5.158599750896586
7,5.320750324742241
8,5.466632258964144
9,5.466872514346704
10,5.577685498613904
11,5.847832093790947
12,5.854277165292567
13,5.96111744048655
14,5.8280416556654595
15,5.681761451919307
16,5.508623398201485
17,5.5137517055712815
18,5.602707688475951
19,5.708539330529825
20,5.731518915487568
21,5.756002695960972
22,5.721050806121537
23,5.689946522815354
