Hour,MAE
0,1.5969376680141243
1,1.6549955490750299
2,1.6389539110324531
3,1.5724405598860194
4,1.6089625656041946
5,1.642311835078359
6,1.6834084889130614
7,1.6992391151456383
8,1.796369330270415
9,1.694027913111122
10,1.6130438555347522
11,1.680124383753524
12,1.6321795836967294
13,1.6952404573139934
14,1.7223894190324538
15,1.7232046097641671
16,1.696745487388775
17,1.711832482452427
18,1.7879804872186535
19,1.7971034267559955
20,1.7197113048677095
21,1.6775230833567574
22,1.7141296904015413
23,1.6622091804106356
