Hour,MAE
0,2.5178715918625905
1,2.5132903823049286
2,2.46441470071715
3,2.3803565737569317
4,2.3552828434340474
5,2.3663584725301745
6,2.3847850712519127
7,2.4869765279124727
8,2.586382080392381
9,2.5533630042233386
10,2.5966493456540323
11,2.755164735053333
12,2.7330024725156425
13,2.8030001027046274
14,2.777191300621769
15,2.7224286349536078
16,2.6394362666711464
17,2.6476174551913974
18,2.7177334216311886
19,2.752163477778613
20,2.7111877318718682
21,2.647154543220936
22,2.6422704245461675
23,2.584635548710433
