Hour,MAE
0,7.5624403423735025
1,7.620147680843343
2,7.680907793867069
3,7.608656108999939
4,7.654243340878668
5,7.567620003783291
6,7.2649503428727655
7,7.171576065283151
8,7.262344591412806
9,7.171937341256167
10,7.113427651280684
11,7.25651752174913
12,7.258366634520892
13,7.3371809934429795
14,7.19569237183427
15,7.099821565313031
16,6.9181964311730395
17,6.896070362140315
18,7.1170789376811205
19,7.171479026400319
20,7.288124381894988
21,7.388151089815894
22,7.436756346924274
23,7.548439793193702
